==22277== NVPROF is profiling process 22277, command: ./kmeans -i ../data/data_3d_ind.txt
==22277== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22277== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.915000 ms
GPU Elapsed Time : 8568.311523 ms
==22277== Profiling result:
==22277== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l1_cache_global_hit_rate","L1 Global Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l1_cache_local_hit_rate","L1 Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sm_efficiency","Multiprocessor Activity",20.766606%,21.592430%,21.171867%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ipc","Executed IPC",0.347695,0.377632,0.369105
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"achieved_occupancy","Achieved Occupancy",0.122728,0.122935,0.122836
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"gld_requested_throughput","Requested Global Load Throughput",125.726858MB/s,146.220207MB/s,141.565414MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,125.726858MB/s,19.284280MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sm_efficiency_instance","Multiprocessor Activity",20.766606%,21.592430%,21.171867%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ipc_instance","Executed IPC",0.347695,0.377632,0.369105
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_replay_overhead","Instruction Replay Overhead",0.033638,0.077803,0.040118
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_replay_overhead","Shared Memory Replay Overhead",0.000000,0.000000,0.000000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"global_replay_overhead","Global Memory Replay Overhead",0.000000,0.000000,0.000000
