==21767== NVPROF is profiling process 21767, command: ./kmeans -i ../data/data_3d_ind.txt
==21767== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21767== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.919000 ms
GPU Elapsed Time : 3816.992920 ms
==21767== Profiling result:
==21767== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l1_cache_global_hit_rate","L1 Global Hit Rate",65.625000%,65.625000%,65.625000%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l1_cache_local_hit_rate","L1 Local Hit Rate",90.668524%,90.668524%,90.668524%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sm_efficiency","Multiprocessor Activity",17.367774%,17.367774%,17.367774%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ipc","Executed IPC",0.188696,0.188696,0.188696
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"achieved_occupancy","Achieved Occupancy",0.063491,0.063491,0.063491
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",45.819434MB/s,45.819434MB/s,45.819434MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",29.844426MB/s,29.844426MB/s,29.844426MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sm_efficiency_instance","Multiprocessor Activity",17.367774%,17.367774%,17.367774%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ipc_instance","Executed IPC",0.188696,0.188696,0.188696
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.077760,0.077760,0.077760
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_replay_overhead","Shared Memory Replay Overhead",0.000000,0.000000,0.000000
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"global_replay_overhead","Global Memory Replay Overhead",0.000125,0.000125,0.000125
